economy,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ABW,0.7638086406801644,1.7328713459686584,1.0683028788881108,0.2619650272002835,0.7398916409320206,1.0565523522519729,-0.2894361005903955,-0.45860899155339,-0.11279664850093232,0.21419879752770707
AFE,0.9055661350995158,-1.1944663430422522,-0.7422942310452803,0.13349667481162739,-0.2837551962077628,0.04314887547864165,0.10614116590939919,-0.8710323334198573,-0.060884519452341586,0.685137264904081
AFG,4.148394290349815,1.7019499544928762,-2.757931313166598,-1.2214775505182922,2.264559449009994,1.3098622658590804,0.7666860649213286,-2.1156909540725937,-0.6347874391453381,-0.7485452278827779
AFW,-0.03387760958147356,-1.264558938417341,0.9668284304304499,0.07047055454678097,-0.560188017084842,0.7652271782627664,0.19688320899931414,-0.4565712780789982,0.04325756628673787,0.6521940023519329
AGO,2.1432303809532693,-1.587595068998619,1.3794405283343687,0.1057847505759931,0.901455455263857,-1.5514222460035503,-1.5405794076243455,0.9330590503418282,-0.15234910407554916,0.041545296072136625
ALB,-0.9305623745450088,0.1807605102352034,-0.47439349102263034,1.0059010752742246,-0.4573743043650356,-0.38370264580117847,-1.0698042633812437,-0.8259685572610278,-0.5474390108228343,0.7075752185162154
AND,-1.258315796757098,2.162632733885264,-0.42442039167984946,1.1996552524886015,0.5604735273583199,0.6956714996829927,-1.3673008068356138,0.01782348505195731,1.7167052471139437,-0.45142300570451643
ARB,-0.3582160072743938,-1.9632044918261842,0.44726146763451186,-0.4652656930491678,0.4717251165414705,-0.6386283004219955,-0.6152433246982356,-0.06406517177413407,-0.04494642206791712,0.2866405731306066
ARE,-3.4373144353962406,0.43793486457307185,2.804252742896961,0.4707842767325279,-0.8283276296404548,-0.4443742107613816,0.41789502531290584,0.21798890837076443,-1.1101101186972049,-0.9467122885449536
ARG,-1.5336323963165244,-0.5261742634679916,-2.6078474764231676,3.0599126539463377,1.8443378510492567,-0.45217099270718153,1.5653524934910286,1.9133584366737604,-0.06793994778315017,-0.19619838299041312
ARM,-0.006001836644665842,1.2929286040381427,-0.09497342447605221,-0.1901939567432193,1.2174063940440056,-0.5483126354823656,0.128175445381108,-0.8101229914401774,1.5865800138808994,-0.3867761580573258
ASM,0.6402694711092107,2.748025598103687,0.507618340233575,-0.375190786512877,0.3537784722340563,0.660877804982865,-1.1909587748331747,0.9660157709721815,0.14005128881761605,0.26106733784239383
ATG,-0.360926311629494,2.027326414928597,0.9661310071994451,1.8750326471398824,-2.259264931009447,-0.8324044094535089,0.10101766525989163,-1.2929703023752475,0.1585260713349389,0.23213572288942766
AUS,-3.4742764445870256,-0.04185876159033935,-2.051058939548526,0.6812938877122803,-1.0908976037271112,-0.4395148872663131,-0.5584048413025395,0.1486546673802065,-0.6507283237850366,-0.35815903798812954
AUT,-3.9230868618589794,-0.039086911538386046,-0.8615010352211883,-0.06432047486736414,-0.23988497912171872,0.14865452588138994,0.9559346522035792,-0.5566187300876696,-0.06373017169574595,0.47375376299642313
AZE,-0.6588881725914263,-1.0459881313477533,0.8506268846076511,0.3399105969206376,-1.1762070075027715,-1.0024820469798297,-0.40814590004441037,0.3216228690135467,-0.023383433892100212,-0.3705116913846124
BDI,4.026547829761991,0.6650252095014049,-1.8776923649850603,-0.13536858161834392,-1.3692097268495895,1.2125657442856685,1.1985702922447197,-0.4508198864158681,-0.39724501799973777,0.17689726988818474
BEL,-4.543715184421181,1.7961876123532725,-0.2337411173340022,-0.20502493493173346,0.3421210365002986,0.4701029855320835,0.6442458023941227,0.04109700995399131,-0.20690919885281323,0.01868429000826866
BEN,2.7821354019295246,-0.9406460450034705,0.24784665317790436,0.02366740743596214,-1.2366557953579527,0.9796160332376161,-0.8992920773863754,0.37829392339319445,-0.369946685365523,-0.135874873622326
BFA,2.9846060990203154,-0.390486847031545,-0.17604674602563045,-0.7337267828760895,-0.4304785811124324,0.2034330091827306,0.4127274415571333,-0.340472693384608,-1.123336363610115,-0.3302794716765485
BGD,0.8209669272351028,-3.4083032246186646,0.6103416328850957,0.2378363886668411,-0.8822053044565011,-0.22004866151693034,-0.18550382260013082,-0.07862024703705368,0.01120790685134654,0.5267864328986307
BGR,-1.3250031975908603,1.106110875423332,0.16612004029848837,-0.02680044787154791,-0.04053290005623519,0.4110925071463679,0.7355070445739308,0.07949056422564714,1.2149907714760502,-0.7094268961630589
BHR,-2.049610916786004,-1.0302526725204835,3.0425087004427356,0.0805082682322051,-0.502093003438472,0.06194659543252997,-0.09859393547435472,0.7831623638345292,-0.516666985674103,-1.03008432305479
BHS,0.024623456516030647,2.741604140778945,-0.2689519910442995,1.4865764739025549,-0.9059240152922721,-0.6451353147551756,-1.2029630970947316,-0.13122527080851523,0.4215501223214125,-1.1257857441558454
BIH,-0.661138758314586,0.7144508212298989,-0.048737844089705495,0.26237597851465116,0.1823956649281007,-0.7431709187185443,0.40651293193964827,-1.0870486870895348,0.7390727682918925,0.48330736609688735
BLR,-1.8892667118465214,0.06545395827239892,1.159425846570318,-0.14308625865794317,-0.1446312555934578,-0.2605730824211692,1.6705601795702418,0.16695890830484025,1.2260858592527664,-0.9561537595630549
BLZ,0.39759484249736,1.6726889069348074,0.5369704074516499,0.6652530098192118,-1.432304525592208,-0.7888072079498107,-0.03162253008773873,-0.4140640585102775,-0.3327296533968276,0.5523970210210122
BMU,-0.3394018282119484,1.2512658210047378,0.22711467912746303,0.3386054621949273,-0.46012210940100945,0.4281286361122507,-3.388110248590675,2.2995722767520053,0.835524999874476,0.10879784638878978
BOL,0.9001029986071406,0.46420736456434847,-1.558519430836051,-1.076093798005064,0.012773349251541022,-0.005581089878812722,0.3935370663938002,0.40669645355129086,-0.7753433816181137,-0.7002656545083791
BRA,-0.8522440810677494,-0.255592577415331,-2.1553246292848858,0.11506079482577454,0.7876812449110548,-0.5343725327924386,-0.4747211377482679,-0.28469462250795446,-0.720403064412141,-0.4502300905986769
BRB,-0.7762638890851473,1.9380720762545864,0.09985729127848866,1.2603542042940346,-1.4930410977359845,-0.25321026975485966,0.27749871883733457,-1.2340935894432832,-0.00022463164440969253,0.6577266251056547
BRN,-2.2082100397408913,-1.0513174413602249,3.6741314435525596,-0.06568799193032722,-1.8957519757844916,-2.4563356750974457,-0.38030427023135766,1.6000666657156644,-0.3814315847632538,-0.8505559754508867
BTN,0.557237307136317,0.36622909623745903,0.28279293725794763,0.12210663460845878,-1.9276900911899189,-0.7613279740140063,0.3735145838641369,0.05405404000531016,-1.0310666484403648,0.3651694949489935
BWA,1.4931668904385478,1.1764899919234506,0.2015470608404831,-1.2990235313474547,1.0395432071989053,-3.3599948963461297,-1.2070833080463783,0.9114186609354319,-0.9802068084230889,0.5406092169209762
CAF,5.020724328142414,-0.33697585420036297,0.07673718578573961,-1.1694735426488727,0.9621600758182682,1.0400774270761615,0.2140747616266761,-0.08753095108551348,0.4922046536610617,-1.6338817750830903
CAN,-2.982389961334505,-0.10936027388138878,-1.9426928933516083,0.1957050330423972,-0.029995156427074284,-0.009759340476335008,-0.5279866736213059,-0.14400438426012666,-0.8771765650296582,0.04684838824481102
CEB,-1.1394794827772672,-0.5828431857140933,0.31465176252507954,-0.43151890859692366,0.5303043982229121,0.9823615165968098,0.3770610316649075,-0.05498206069612171,-0.4204368874552884,0.05446193970588795
CHE,-4.441419175653681,0.08782330562576608,-0.1715331131311852,-0.3182315284004808,-0.2717310592580801,0.10612800476904279,0.8726182893236,-0.09172554411360682,-0.48343479236821196,0.17084164634868446
CHI,1.7220382630066295,1.7060302485020629,-0.13299144250140513,0.10483183320999476,-0.6232395058871752,1.1666155142338592,-1.266878482614139,0.47871662721779623,0.44872412354295554,0.5974229297997299
CHL,-2.3477739148146894,0.3667825337387422,-1.270317887620722,0.7592099956340108,-0.24437322733674177,-1.162848267270709,-0.1426543433554407,-0.39622588628373473,-0.959757184767091,-0.641040730672353
CHN,-2.2279992606946855,-4.171584329505326,-0.48962361457762577,-1.1524284142983319,-0.005838041239343254,-0.09796453635026824,-0.022462037931485674,0.6016521934494853,1.247593766502822,1.0343274848844484
CIV,2.7943873925372738,-1.0518961306364987,0.08534298494303746,-0.2030329903308717,-0.3266456065505809,1.0776039484653634,-0.48932946137644967,0.16354745664906611,-0.6098080246980596,-0.7567214423960363
CMR,2.6360146850807866,-1.2115646776765483,-0.253876945120756,0.14792967306980198,-0.055248024466331355,0.8750898429826622,-0.5996254683451732,-0.16900536513369602,-0.41545671596747,-0.9278293383166858
COD,2.5501553742935665,-2.31325759968059,1.609760996605859,-0.7304697420131674,0.222290748461312,0.16622506145561233,0.2547547688661198,0.0984426918767032,-0.5052496554521129,-0.6038549644007004
COG,1.614221342225709,-0.7872227739577228,1.965863812699591,-0.377960957207375,1.020312714166107,-2.7194185217721993,-1.3756555749381556,0.09876924901965725,-0.22733906079521818,0.2184427204013698
COL,-1.1939417994675947,-0.2889768393199319,-1.983830170090312,0.7163600933503315,0.4612511986160057,-0.7857665280263714,-0.650938099810248,-0.8206836929922967,-0.9643591243843928,0.08261697224435888
COM,2.7926196823139655,0.9574331588141047,-0.6065340522662195,1.1401209037536597,-1.5160610744019813,0.8415716198231358,-0.11082945937135118,-1.0649950442131115,-0.42835938494526354,-0.312531267823392
CPV,0.50701790988713,2.5315212736905153,-0.10151840500179256,0.653306579728978,-0.9558797946676174,-1.4313101389272342,-0.2828266589617773,-0.4307288556753649,-0.5597655254755546,0.38113430487709443
CRI,-1.9468431299019042,0.7571779042651265,-1.2245584088869435,0.6611160821102744,-0.045282812275008875,-1.2192063772739303,0.003657627334134171,-0.872425888014322,-1.0410396020008774,0.04950608832818182
CSS,0.5313425529290459,-0.3215560040961323,0.27014691692873255,-0.10014107004707934,0.012534502168298685,-0.06007716853060347,-0.6537989367266067,-0.11095019807533575,0.24951774001923788,-0.11879404082635604
CUB,-3.1328232636347484,1.4062180736045142,-2.5031766875418544,-0.6794126556517225,-0.7461801060100229,-0.4375262614721811,2.2304679190380097,0.2928113929537461,0.8782954130666581,-1.1644442810257642
CUW,0.878138607711281,2.10678057049097,-0.7309758968156163,-0.34129763825899306,0.0578799780672129,0.49266173487558823,-1.3386772406903058,1.2546059909251424,-0.30401213629039125,-0.2997257186355965
CYM,-0.11922840343800574,2.082823869010402,0.1411777773099234,1.1153806245074154,0.6509332684269784,1.074159856608691,-2.6878908583590793,0.9135755634783672,0.32439532596595616,-0.5154377050219601
CYP,-2.934078993199916,2.7541081316593194,0.264253992483993,0.9155546374622634,-0.35859901117379867,0.9946219565529337,0.08087136508444413,-1.1031763336457485,-1.1862022309024831,0.9117487714850624
CZE,-3.0516629598693394,-0.19487341421850193,0.5478656092207043,-0.2802752731487232,-0.07824391346349731,0.4695699044150602,1.2603328137248049,0.11855369723449488,0.6104493560581931,-0.25869830657241627
DEU,-3.485901698544174,-0.5788301531639682,-1.4297560949270072,-0.5735842705826366,0.07521556357271933,0.2650151387233203,0.9251091919773112,0.10710402836050227,0.2505968201285378,-0.3654125689371039
DJI,1.1787445399643752,3.955486984153931,3.9837262366599537,0.38654836554458216,2.822662718160787,-0.7219716686062203,-1.4423849901251153,-1.6110259057851168,-1.5633404007504799,1.5600387200162473
DMA,1.6554833572823004,2.215258772155587,-0.11470077816096731,-0.6218405730257202,0.029935074304478126,0.4217735563981882,-1.0383702629276377,0.7124694664439195,0.5069173215400841,0.0640674720583032
DNK,-4.058074341956353,0.5039141916593007,-0.6285982642858905,-0.6510433981235233,-0.30461099131162384,-0.14954958992197773,0.4149728210208467,0.6551257805040566,-0.2928872734807711,0.4294053273790886
DOM,-0.48729984593320674,-0.9680623487884507,-0.21650615472691398,0.4955054925852635,-0.33739970943647574,-0.3337168646729874,-0.7975163130317595,0.2850777039611894,-0.3842628079956333,-0.7113015443616287
DZA,-0.48427708336464165,-1.1863035733173284,-0.054495232406202986,-0.2733243917528575,-0.6846381464709883,-2.235115530570157,-0.9899143819763695,0.8162000378404373,-0.6633507485157926,0.6069319499427982
EAP,-0.8320586344075528,-3.9933476546601416,0.18995058255722905,-0.9712145310984863,0.2315174437102617,0.2201985928447111,-0.14709728289494564,0.6214854107394092,0.6775460065127205,0.3620976630343978
EAR,0.06732160216318184,-2.7381118538053113,-0.4546578281356395,-0.39696385474739176,0.2297933466779159,0.43831219290225193,-0.09808241834377333,-0.3891911667332662,0.15940673509080538,0.6603812443748425
EAS,-1.0087526367991955,-3.3639387819990088,-0.143884933039695,-1.0408500706100006,0.5110410266150812,0.5590739406041265,-0.09949222388556078,0.48668771271424,0.44308424775024496,0.2625782004146966
ECA,-0.5088028281486567,-1.5413668411493544,0.02563126202398661,-0.053367325919332215,0.38224875717319456,-0.11391810832643152,-0.10077156232043039,-0.17583197159515404,-0.046279066056487905,0.22785664137048336
ECS,-1.2982571991065595,-1.0674430615738986,-1.141560792685764,-1.0676981950516047,1.2065191723803261,1.0893220753884234,-0.3750493288852835,0.3534355329261974,-0.1680486987817384,0.3921487512025015
ECU,-0.5093529636083505,-0.7684779341101912,-0.7865228206756377,0.08045879737678087,-0.4727965191628044,0.14401015278605053,-0.14279381722779347,-0.21035599391081072,-0.18336757636064238,-0.4272267152770635
EGY,1.9303099266951935,-1.7396294739882308,-0.5822177059426417,0.07812415895444165,0.6861988257852156,0.3587263931473674,0.09234613280578856,-0.22929619121872097,1.0867319557502544,-0.062050882398741014
EMU,-1.5436383935508071,-0.7031756333125202,-1.2123069411891012,-1.2780968115870197,1.4765616779088093,1.0292004797186696,-0.40022182984378835,0.4384647030285253,-0.21086972917117927,0.34497055774028684
ERI,1.6333209655712033,0.03480181925741211,1.127694936771976,-0.6698710565000188,-0.05834864732261776,0.23166320482216918,0.3208297067538685,0.3487480330109839,0.22873109209045192,-0.23270081285163685
ESP,-2.731183090234173,0.3060321024252433,-1.5240206106377978,0.44565280733712204,0.47486299851955593,-0.9169904392501456,-0.4672019085942441,-0.6568827522026539,0.2278444449975984,0.36638129594807
EST,-2.645409213736032,1.449622604242548,0.9693301568020358,0.4455378900957665,-0.6236372891125771,-0.2782923251378211,0.6703800897751024,-0.17556864331012856,-0.4988333725442538,0.3291432777950561
ETH,2.824915978588555,-1.3745213484294612,-0.45514054179086894,0.976257922257477,-1.6615743440200281,0.2730613224642961,-0.27996058015981534,0.21501869914913901,-0.9071345338800708,0.8116477812942761
EUU,-1.5005615024984968,-0.838241680838827,-1.0457658488225132,-1.1979018420520697,1.3918275715977884,1.1529872105636536,-0.36929951754537754,0.3952595623804115,-0.17875050669759388,0.35978715188058935
FCS,0.37547569333142267,-1.859727197463277,-0.15283128330600532,0.40428269966444663,-0.574896811345034,0.1895820810127373,-0.0031669576868801302,-0.7794913648089001,-0.061484659991082574,0.42345744018632514
FIN,-3.0831449203068395,0.3641076821228082,-1.1819638053913695,-0.09409959419974775,-0.0658098001076528,-0.6677747120039893,0.2483376952287114,0.10041629465456627,-0.43338418576725424,-0.13066407408086655
FJI,2.109179183437929,1.6974704888159076,0.047206252518497915,-0.11638777255105241,0.05891494306393915,1.1710945312377659,0.3717398103362424,-0.42466551494318544,0.7592297524704748,-0.8345830526383492
FRA,-2.7826164140222813,0.37247859369080033,-2.1219480485654225,0.0218374508054907,0.05602391209381175,0.028859737831532787,-0.30371196251757615,-0.16764300823770187,-0.5042357447334445,0.2092655055478993
FRO,0.759510603923552,1.260572167030424,0.4233328706979729,0.30596421189369827,0.3970206095888101,0.5093314584795764,-0.7870775510743308,-0.03783175437822985,0.15709865137225676,0.16285735071497934
FSM,3.3224521849171835,4.93552943491355,-1.5757573609528572,-2.727987774541281,-1.1432718938497515,-0.8396424810135326,2.0925543581080235,0.9963935184529363,1.3963895894718712,0.4504407102825744
GAB,0.4716037859143074,-0.9431443122387136,2.003670321744051,0.5689333877724652,1.7986363519669022,-2.877642503553651,-1.0439375211255368,-0.6545976958488064,-0.5402754585064217,-1.392568364548122
GBR,-2.717194518862549,0.2095289960898185,-2.486872736693187,0.19078393165113194,0.04164994874118021,0.7754184365810529,-0.39591804051765606,-0.12159869340979816,-0.7254020791915432,-0.07886983118381521
GEO,-0.2524892609973652,1.6551787642607663,-0.12645884234766322,0.3084666432844545,0.3928247170277808,-0.22088725908630044,0.5293613120415802,-0.8435660453244,2.4772591727112445,-0.33004291538920794
GHA,1.9017983279426998,-0.8877078509010138,0.212787860043343,0.6213478864672424,-0.04994413436075917,0.7484925994483916,-0.11783092825601264,0.37096943374755315,-0.3159020613379218,-0.5024349009955653
GIB,-1.1527836845351798,2.758092961192816,0.5097946279218707,-0.04718602920485173,0.5282542779756711,-0.3928840371511464,-0.3808247864842245,0.6002509938848283,0.8605789639583304,-1.2926718120040877
GIN,3.8648379616493918,0.3037357539074,1.6923481931804207,0.5064852439080195,0.08248499819543058,0.822817275653187,0.20820160193183063,-0.7673582630447291,-1.183319008632883,-1.4221791333225957
GMB,2.8368821802701762,1.239280227493088,0.593977563594047,1.1636741678594793,-2.139448848364526,-0.8392883169584398,-0.8346406332056602,0.5306472207311514,-0.2969139553865696,-0.555153102599401
GNB,3.4052995410032194,0.7492974237976538,-0.8089165758730964,-0.26281827311600636,-0.8529775115716028,0.8378414556501532,-0.0005963155482503823,0.03522595195860831,-0.6282128078634032,-0.8663979778834644
GNQ,1.5147287464120303,-1.1615350879277817,2.0271184377142375,-0.1875366137639438,0.262904663039046,-1.7767106348750306,0.36343775289765495,0.2893270256681685,-0.9287276805325083,-2.4240970496261003
GRC,-2.3234778770519506,1.41411418509293,-1.3471553757791468,1.3898154208950455,0.7740068151644792,0.005301519123329021,-0.37389948898309683,-1.6491604955997259,1.2476617230815543,-0.33368111827516955
GRD,0.9188803810282071,1.867057030597637,0.26172765467230513,0.5992702976200005,-1.7538234475982426,-0.49786526824900135,-0.36567894890160846,-0.3170600760701949,0.1614242855243853,0.47369019588244843
GRL,0.33894282921299007,1.597547514919921,-0.08614640093425091,0.47279752274316567,0.38722348286657543,0.2801650738113497,-1.8525577106113749,0.9506016324839156,0.10056997474348606,-0.6363733818986781
GTM,0.3705895340483875,-0.6194318877023643,-0.5469174733545669,0.5796002629581414,-0.977855596583589,0.4699741070185809,0.2109310822694742,-0.4664899584440757,-0.2789553221355992,-0.507519796904175
GUM,0.16705827782349275,1.1838731555157027,-0.7099786634491514,0.38684753331299127,0.22064368918680727,0.7870358873413715,-1.5186211295754675,0.8750764090178358,0.26026416276149833,-0.8731202271305176
GUY,1.3175089393620023,0.10211252311960246,1.6047264526875469,-0.25558495237949747,-0.3364347547297035,-2.085053298291216,-0.1291034440290583,-0.20358154342776763,0.30433106310593055,-0.802398865461301
HIC,-1.5619462312328458,-1.0367160100958226,-2.1685495347019086,-1.2318700754459426,1.3052792269230147,1.1997466591228123,-0.467915878640095,0.5139100564715313,-0.2590665466235327,-0.16924953277800722
HKG,-1.9201957291194518,4.014241318378468,4.39053829865644,-1.412181372279816,1.8176585300945038,3.7896416614845445,-1.2059760138905915,1.147184403403789,-1.370317412938523,1.6801660125072024
HND,0.42192887219270103,0.1849220647967027,-0.1531188252385952,-0.5931291735565184,0.429068975396499,-0.06261847716771705,0.5363146993030601,-0.3091980436616138,-0.7578102731296465,0.18986988289157006
HPC,0.8620564778406669,-1.4481453519111995,-0.464544301400127,0.4165294675568377,-0.8264046761868407,0.5227420246894845,0.1784480521101007,-0.8870046485445131,0.12355766320489094,0.4837475267914852
HRV,-1.7396238736222296,0.7008127775410374,-0.026917342825529433,0.5129720643143109,-0.6388847149759836,-0.003939352747714713,0.41335242211139805,-0.5263489244620561,0.5213901111032304,0.22423694252726417
HTI,3.492034893762179,-1.182309105782357,0.5390087728490244,0.9569818121418437,1.8244265441674627,-0.7038998617838683,-0.12640988810294615,-0.47910644244438894,1.1359541257371677,-0.9275034197472871
HUN,-2.336839581452818,0.3151925597431118,1.1838115482254072,0.02032228749399228,0.08419593737256753,0.7105322757253546,0.69032120639948,0.044736929994026516,0.09833344636873513,0.2502070566182669
IBD,-0.5696659814570975,-3.1824104477284503,-0.4074872236340005,-0.8273710982909016,0.4832850821476899,0.24799668979006134,-0.06580768350683766,0.18275528654691844,0.3356225079652346,0.5244114821306045
IBT,-0.4020542631275007,-3.2240093092408704,-0.3874734401718538,-0.7404366074035167,0.3703623702972427,0.3347582512662592,-0.007296820747687809,0.02611477957007076,0.35141502673776387,0.6314616317678283
IDA,0.7384747113510651,-2.2105191555009225,-0.3789162643938542,0.24261062642159884,-0.5179528925486271,0.5418207105076861,-0.01932250992681172,-0.7876533441465939,0.039669745930556666,0.7052782543792185
IDB,0.6178042362528845,-1.8381579485045783,0.02763251317767885,0.16234070643771703,-0.7166207115710925,0.4032512207790524,-0.1847882808536867,-0.4305771230977107,0.14977325944762881,0.6436079103743877
IDN,0.6740671977286884,-3.474466923130512,0.8257355566222557,-0.1709690265989108,-0.20245225691001106,0.3178967151949616,-0.8396080037867679,0.41108820887832453,0.7106397920603532,-0.21379455639327594
IDX,0.7073266239081467,-2.164941822209727,-0.052505728199559364,0.16211760837419578,-0.7564828224603157,0.24697799411650573,0.24327048069400897,-0.6774317075346658,0.12307243125453514,0.7252913118770641
IMN,0.4143768265751049,1.7291667807361486,-0.38559585165650717,0.6368071248052779,-0.13693964913952442,0.8039185507587816,-1.6330972893982088,0.1885896299528248,0.7028107608504508,0.3290069487668924
IND,1.477559945332701,-2.456746462589071,-0.38161508269714256,-0.8009675866355707,-0.27680860186986594,0.6038588937715015,-0.42268488315239716,0.22762558782376477,0.3575537117355108,1.3147307796229193
INX,-0.6209783651989242,-0.7927035772521853,-0.3501318853334539,-0.26513466720866313,0.5189122300898343,0.4474446443501075,-0.231581551858033,0.07280194703809337,0.02893675610341801,0.37738623872873783
IRL,-4.285021848610513,-0.4346789729990046,3.791078319140839,-0.27689711191157274,0.7980841066450484,0.3770090998427215,1.9790831511092575,-0.5362046835078949,-0.06290801678167272,0.012650529185215755
IRN,-0.6573594737831672,-2.1909328859048713,-0.3375703728111804,1.4143133832154196,0.9435753455123183,-0.6762821261278509,0.20698010854199875,0.18384892897626595,-0.3970472174716507,-0.03491564069404612
IRQ,0.352665565498569,-0.9278006732848342,1.2655618680559022,-0.6742949507612861,-0.4342392856946315,-2.9022521432900286,-1.3446071553904875,0.9623932162607406,0.3341996082209718,-0.045028371427979635
ISL,-3.413253446702962,1.6791947925071429,-1.3666473077660184,0.2598971546614741,-1.2111512077377535,-0.941229513232876,0.48202174693758143,0.6508866018636414,-0.6156262817173627,-0.6530128128476135
ISR,-3.348676374212703,0.04367415853653724,-1.3209459463653606,0.5018793247916192,-1.330824145255223,-0.6027865419076195,-0.23966898352193225,0.5130317778874592,-0.5411485349172788,-0.1538817829695399
ITA,-3.0224455500198735,-0.8421032395336991,-1.5129457120415608,0.5186074643888181,0.10385006477751375,-0.022799412933077516,-0.24743635722150764,-0.727156009198717,0.048341487025185446,0.4260526699878378
JAM,0.783650844799913,0.9522095476638267,-0.5262404170318241,0.0007671435449756512,-0.861280102936053,0.006558323957240053,0.19919979318275247,0.10613752381539,-0.4972220762515717,-0.11865138404366622
JOR,-1.09159929810038,0.32747332325060036,-0.07501167140411054,0.8385621691021812,1.454563239809719,-1.4676170742708605,-0.6968988721412797,-1.420793768674454,-0.31704067152653026,0.03154880440933261
JPN,-3.6305716129427195,-2.219958524638651,-1.7601191055898453,0.14748513945370936,-0.05060863512174926,0.40326764563871614,-0.37048166115103476,0.018213333659354385,-0.782303782702773,-0.2671330779997124
KAZ,-1.1182333581926192,-1.0714419603036096,0.11075471915123643,0.7140019233741504,-1.0880096639712116,-0.6645517819161865,0.24311613407446253,0.05547716195205602,0.560681339523863,-0.17484705831801767
KEN,2.392690493837886,-0.5664247785352119,-0.9701755186036524,0.3410280189305902,-1.0698360831223954,0.4043606986453862,-0.3066015429941679,-0.6078966338477261,-0.8271578344651419,0.48953406824384543
KGZ,0.7234649679856102,0.6629859558267147,0.4529502956607472,-0.2966773280213927,-1.102850638858427,0.07769252197404719,1.593431299456638,-0.2771380679862449,0.09471767667340217,0.6805413106756836
KHM,0.6451414633903684,-2.3457684553332196,2.73663543812201,-1.1463750866909859,-0.4841895702091446,0.928001968105692,1.4125360045541986,0.046992523487902185,0.12301312045690689,0.38690711125460037
KIR,3.2001101796135516,4.432958710881083,-1.5693979803555513,-4.528618016829664,-0.6290809321838952,-1.7069056004088297,2.2819703415562222,2.758136425806255,0.04113827247983272,0.48296273896768654
KNA,0.8410325641638879,1.2715018563318288,0.0680758906205186,0.3255627694427139,-0.6962722961359956,0.16914797086677325,-0.5797615748613089,-0.5246716257744731,1.6669327251620336,0.2658829996157976
KOR,-3.968864910114652,-2.089801441170379,-0.4729791616600582,-0.3817475517164633,-0.3149416284666005,-0.1727931610979422,0.5611801991822746,0.20948437705511486,-1.0563555242386438,0.40688095917555606
KWT,-2.949271745545439,-1.3679667832412512,0.7700213757394894,-0.5559858968666328,-1.3551512551148164,-1.7299376815913783,-0.3830436317631848,1.8321210684157188,-1.074518735828006,-1.0197339298335175
LAC,-0.5282385985247938,-1.2807220410926548,-1.3426601752880234,-0.1375091524833444,1.0020227702870386,0.3950318747122918,-0.5320679409913159,-0.24493523492960212,-0.2934577695809964,-0.3635442879491882
LAO,2.531132084313933,-0.8776683311183949,1.1679875580687793,0.9574536669506905,-0.9687711217353162,0.9191030327541142,-0.18232435429576885,-0.012330881690637957,-0.1427444174307524,-0.5691368374449841
LBN,0.4511830440195359,2.545285927085353,-1.6154720750184068,6.506810776050294,2.020309807068555,0.6585241283270928,0.7804526218808938,0.6714393336228721,-1.2444519458415408,0.6084980066243606
LBR,2.83909775982865,0.9160218924331115,0.21268124607961025,-0.525958981716515,0.5276586877509881,1.711259138814336,0.32153857240516587,-0.23684267242835386,-1.5222579189074843,-1.0761743478641308
